Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
13-09-22,SPXW220913C03640000,0,0,0,0,0,0,0,0,0,3640,SPXW220913P03640000,0.05,0,0,0,0,0,0,0,691
13-09-22,SPXW220913C03650000,0,0,0,0,0,0,0,0,0,3650,SPXW220913P03650000,0.05,0,0,0,11,0,0,0,3562
13-09-22,SPXW220913C03660000,0,0,0,0,0,0,0,0,0,3660,SPXW220913P03660000,0.07,0,0,0,0,0,0,0,46
13-09-22,SPXW220913C03670000,0,0,0,0,0,0,0,0,2,3670,SPXW220913P03670000,0.05,0,0,0,0,0,0,0,134
13-09-22,SPXW220913C03675000,0,0,0,0,0,0,0,0,0,3675,SPXW220913P03675000,0.1,0,0,0,0,0,0,0,173
13-09-22,SPXW220913C03680000,257.67,0,0,0,0,0,0,0,1,3680,SPXW220913P03680000,0.07,0,0,0,0,0,0,0,120
13-09-22,SPXW220913C03685000,0,0,0,0,0,0,0,0,0,3685,SPXW220913P03685000,0.07,0,0,0,0,0,0,0,28
13-09-22,SPXW220913C03690000,0,0,0,0,0,0,0,0,0,3690,SPXW220913P03690000,0.07,0,0,0,0,0,0,0,190
13-09-22,SPXW220913C03695000,0,0,0,0,0,0,0,0,0,3695,SPXW220913P03695000,0.07,0,0,0,0,0,0,0,76
13-09-22,SPXW220913C03700000,0,0,0,0,0,0,0,0,0,3700,SPXW220913P03700000,0.05,-0.025,0,0,11,0,0,0,568
13-09-22,SPXW220913C03705000,0,0,0,0,0,0,0,0,0,3705,SPXW220913P03705000,0.05,-0.025,0,0,2,0,0,0,158
13-09-22,SPXW220913C03710000,0,0,0,0,0,0,0,0,0,3710,SPXW220913P03710000,0.27,0,0,0,0,0,0,0,134
13-09-22,SPXW220913C03715000,0,0,0,0,0,0,0,0,0,3715,SPXW220913P03715000,0.05,-0.025,0,0,2,0,0,0,2
13-09-22,SPXW220913C03720000,0,0,0,0,0,0,0,0,0,3720,SPXW220913P03720000,0.05,-0.025,0,0,27,0,0,0,109
13-09-22,SPXW220913C03725000,0,0,0,0,0,0,0,0,0,3725,SPXW220913P03725000,0.05,-0.025,0,0,2,0,0,0,597
13-09-22,SPXW220913C03730000,210.67,0,0,0,0,0,0,0,1,3730,SPXW220913P03730000,0.1,0,0,0,0,0,0,0,67
13-09-22,SPXW220913C03735000,0,0,0,0,0,0,0,0,0,3735,SPXW220913P03735000,0.29,0,0,0,0,0,0,0,112
13-09-22,SPXW220913C03740000,262.81,-105.84,0,0,1,0,0,0,1,3740,SPXW220913P03740000,0.05,-0.025,0,0,6,0,0,0,241
13-09-22,SPXW220913C03745000,0,0,0,0,0,0,0,0,0,3745,SPXW220913P03745000,0.05,-0.025,0,0,153,0,0,0,138
13-09-22,SPXW220913C03750000,199.8,-158.85,0,0,2,0,0,0,0,3750,SPXW220913P03750000,0.05,-0.025,0,0,195,0,0,0,1386
13-09-22,SPXW220913C03755000,0,0,0,0,0,0,0,0,0,3755,SPXW220913P03755000,0.05,-0.025,0,0,344,0,0,0,507
13-09-22,SPXW220913C03760000,0,0,0,0,0,0,0,0,0,3760,SPXW220913P03760000,0.05,-0.025,0,0,22,0,0,0,1094
13-09-22,SPXW220913C03765000,0,0,0,0,0,0,0,0,2,3765,SPXW220913P03765000,0.05,-0.025,0,0,108,0,0,0,1895
13-09-22,SPXW220913C03770000,187.1,0,0,0,0,0,0,0,1,3770,SPXW220913P03770000,0.07,-0.03,0,0,17,0,0,0,1542
13-09-22,SPXW220913C03775000,0,0,0,0,0,0,0,0,0,3775,SPXW220913P03775000,0.05,-0.075,0,0,33,0,0,0,371
13-09-22,SPXW220913C03780000,0,0,0,0,0,0,0,0,0,3780,SPXW220913P03780000,0.05,-0.05,0,0,911,0,0,0,1422
13-09-22,SPXW220913C03785000,0,0,0,0,0,0,0,0,0,3785,SPXW220913P03785000,0.05,-0.05,0,0,181,0,0,0,39
13-09-22,SPXW220913C03790000,0,0,0,0,0,0,0,0,0,3790,SPXW220913P03790000,0.05,-0.05,0,0,12,0,0,0,287
13-09-22,SPXW220913C03795000,207.79,-105.91,0,0,1,0,0,0,1,3795,SPXW220913P03795000,0.05,-0.05,0,0,57,0,0,0,253
13-09-22,SPXW220913C03800000,187.48,-121.22,0,0,10,0,0,0,16,3800,SPXW220913P03800000,0.05,-0.075,0,0,845,0,0,0,2976
13-09-22,SPXW220913C03805000,0,0,0,0,0,0,0,0,0,3805,SPXW220913P03805000,0.05,-0.05,0,0,47,0,0,0,258
13-09-22,SPXW220913C03810000,130.17,0,0,0,0,0,0,0,1,3810,SPXW220913P03810000,0.05,-0.05,0,0,208,0,0,0,93
13-09-22,SPXW220913C03815000,211.74,-81.96,0,0,1,0,0,0,6,3815,SPXW220913P03815000,0.05,-0.075,0,0,189,0,0,0,92
13-09-22,SPXW220913C03820000,122.42,0,0,0,0,0,0,0,1,3820,SPXW220913P03820000,0.05,-0.075,0,0,462,0,0,0,673
13-09-22,SPXW220913C03825000,0,0,0,0,0,0,0,0,0,3825,SPXW220913P03825000,0.05,-0.075,0,0,371,0,0,0,1208
13-09-22,SPXW220913C03830000,102.29,0,0,0,0,0,0,0,1,3830,SPXW220913P03830000,0.05,-0.075,0,0,927,0,0,0,153
13-09-22,SPXW220913C03835000,114.4,0,0,0,0,0,0,0,2,3835,SPXW220913P03835000,0.07,-0.08,0,0,534,0,0,0,455
13-09-22,SPXW220913C03840000,122.08,-146.62,0,0,2,0,0,0,12,3840,SPXW220913P03840000,0.05,-0.1,0,0,133,0,0,0,195
13-09-22,SPXW220913C03845000,117.03,-146.72,0,0,2,0,0,0,15,3845,SPXW220913P03845000,0.05,-0.1,0,0,788,0,0,0,192
13-09-22,SPXW220913C03850000,112.08,-146.67,0,0,15,0,0,0,15,3850,SPXW220913P03850000,0.05,-0.125,0,0,3341,0,0,0,1353
13-09-22,SPXW220913C03855000,170.72,-83.03,0,0,1,0,0,0,3,3855,SPXW220913P03855000,0.05,-0.1,0,0,641,0,0,0,198
13-09-22,SPXW220913C03860000,154.26,0,0,0,0,0,0,0,17,3860,SPXW220913P03860000,0.05,-0.125,0,0,1540,0,0,0,383
13-09-22,SPXW220913C03865000,64.15,-179.6,0,0,4,0,0,0,2,3865,SPXW220913P03865000,0.05,-0.125,0,0,1635,0,0,0,223
13-09-22,SPXW220913C03870000,57.48,-181.27,0,0,16,0,0,0,19,3870,SPXW220913P03870000,0.05,-0.15,0,0,1417,0,0,0,927
13-09-22,SPXW220913C03875000,74.64,-159.16,0,0,19,0,0,0,16,3875,SPXW220913P03875000,0.05,-0.15,0,0,2017,0,0,0,1155
13-09-22,SPXW220913C03880000,51.37,-177.43,0,0,4,0,0,0,1,3880,SPXW220913P03880000,0.05,-0.175,0,0,7286,0,0,0,1743
13-09-22,SPXW220913C03885000,224.95,0,0,0,0,0,0,0,3,3885,SPXW220913P03885000,0.05,-0.175,0,0,2716,0,0,0,183
13-09-22,SPXW220913C03890000,39.49,-179.36,0,0,26,0,0,0,28,3890,SPXW220913P03890000,0.05,-0.2,0,0,3980,0,0,0,434
13-09-22,SPXW220913C03895000,35,-178.85,0,0,36,0,0,0,22,3895,SPXW220913P03895000,0.05,-0.2,0,0,4035,0,0,0,413
13-09-22,SPXW220913C03900000,33.6,-175.25,0,0,432,0,0,0,165,3900,SPXW220913P03900000,0.05,-0.225,0,0,22056,0,0,0,2345
13-09-22,SPXW220913C03905000,24.3,-179.55,0,0,135,0,0,0,142,3905,SPXW220913P03905000,0.05,-0.25,0,0,6859,0,0,0,776
13-09-22,SPXW220913C03910000,21.01,-177.89,0,0,117,0,0,0,35,3910,SPXW220913P03910000,0.07,-0.255,0,0,13624,0,0,0,456
13-09-22,SPXW220913C03915000,19,-174.95,0,0,136,0,0,0,83,3915,SPXW220913P03915000,0.05,-0.3,0,0,14370,0,0,0,1498
13-09-22,SPXW220913C03920000,10,-178.95,0,0,919,0,0,0,179,3920,SPXW220913P03920000,0.05,-0.325,0,0,26594,0,0,0,409
13-09-22,SPXW220913C03925000,5.14,-178.81,0,0,2110,0,0,0,251,3925,SPXW220913P03925000,0.05,-0.375,0,0,33910,0,0,0,797
13-09-22,SPXW220913C03930000,2.07,-176.98,0,0,5761,0,0,0,82,3930,SPXW220913P03930000,0.4,-0.075,0,0,42160,0,0,0,339
13-09-22,SPXW220913C03935000,0.1,-173.95,0,0,6843,0,0,0,102,3935,SPXW220913P03935000,3.6,3.075,0,0,35663,0,0,0,1041
13-09-22,SPXW220913C03940000,0.1,-169.05,0,0,9300,0,0,0,90,3940,SPXW220913P03940000,7.7,7.125,0,0,55305,0,0,0,1818
13-09-22,SPXW220913C03945000,0.05,-164.2,0,0,9964,0,0,0,71,3945,SPXW220913P03945000,12.88,12.23,0,0,36521,0,0,0,1193
13-09-22,SPXW220913C03950000,0.05,-159.25,0,0,12509,0,0,0,197,3950,SPXW220913P03950000,21.2,20.475,0,0,83737,0,0,0,3914
13-09-22,SPXW220913C03955000,0.05,-154.4,0,0,6981,0,0,0,97,3955,SPXW220913P03955000,23,22.175,0,0,25830,0,0,0,1369
13-09-22,SPXW220913C03960000,0.05,-149.5,0,0,10087,0,0,0,158,3960,SPXW220913P03960000,26.86,25.91,0,0,41542,0,0,0,860
13-09-22,SPXW220913C03965000,0.05,-144.6,0,0,8522,0,0,0,60,3965,SPXW220913P03965000,32.89,31.79,0,0,20925,0,0,0,345
13-09-22,SPXW220913C03970000,0.05,-139.8,0,0,12806,0,0,0,287,3970,SPXW220913P03970000,37.4,36.15,0,0,35167,0,0,0,1546
13-09-22,SPXW220913C03975000,0.05,-134.9,0,0,12968,0,0,0,565,3975,SPXW220913P03975000,41,39.55,0,0,27546,0,0,0,1084
13-09-22,SPXW220913C03980000,0.05,-130.1,0,0,17789,0,0,0,597,3980,SPXW220913P03980000,45,43.35,0,0,38249,0,0,0,870
13-09-22,SPXW220913C03985000,0.05,-125.4,0,0,16091,0,0,0,560,3985,SPXW220913P03985000,46.3,44.45,0,0,14562,0,0,0,654
13-09-22,SPXW220913C03990000,0.05,-120.6,0,0,24455,0,0,0,305,3990,SPXW220913P03990000,55,52.875,0,0,17906,0,0,0,831
13-09-22,SPXW220913C03995000,0.05,-115.9,0,0,14273,0,0,0,244,3995,SPXW220913P03995000,61.69,59.29,0,0,8424,0,0,0,450
13-09-22,SPXW220913C04000000,0.05,-111.25,0,0,39835,0,0,0,1115,4000,SPXW220913P04000000,67.15,64.425,0,0,26670,0,0,0,2391
13-09-22,SPXW220913C04005000,0.05,-106.65,0,0,13849,0,0,0,763,4005,SPXW220913P04005000,74.2,71.1,0,0,3837,0,0,0,753
13-09-22,SPXW220913C04010000,0.05,-102.05,0,0,19560,0,0,0,386,4010,SPXW220913P04010000,81.7,78.15,0,0,6372,0,0,0,725
13-09-22,SPXW220913C04015000,0.05,-97.55,0,0,16029,0,0,0,216,4015,SPXW220913P04015000,79.9,75.9,0,0,4509,0,0,0,1014
13-09-22,SPXW220913C04020000,0.05,-93.15,0,0,25098,0,0,0,389,4020,SPXW220913P04020000,88.26,83.71,0,0,5213,0,0,0,1234
13-09-22,SPXW220913C04025000,0.05,-88.65,0,0,19283,0,0,0,1147,4025,SPXW220913P04025000,97.83,92.68,0,0,3740,0,0,0,1325
13-09-22,SPXW220913C04030000,0.05,-84.35,0,0,19614,0,0,0,328,4030,SPXW220913P04030000,97.33,91.53,0,0,1717,0,0,0,622
13-09-22,SPXW220913C04035000,0.05,-80.05,0,0,13037,0,0,0,449,4035,SPXW220913P04035000,110.42,103.87,0,0,487,0,0,0,571
13-09-22,SPXW220913C04040000,0.05,-75.9,0,0,19652,0,0,0,217,4040,SPXW220913P04040000,112.54,105.14,0,0,2944,0,0,0,1601
13-09-22,SPXW220913C04045000,0.05,-71.8,0,0,9174,0,0,0,135,4045,SPXW220913P04045000,118.3,110,0,0,868,0,0,0,596
13-09-22,SPXW220913C04050000,0.05,-67.85,0,0,26019,0,0,0,553,4050,SPXW220913P04050000,114.68,105.38,0,0,2712,0,0,0,2826
13-09-22,SPXW220913C04055000,0.05,-63.9,0,0,9180,0,0,0,152,4055,SPXW220913P04055000,127.85,117.45,0,0,249,0,0,0,352
13-09-22,SPXW220913C04060000,0.05,-60.1,0,0,13211,0,0,0,449,4060,SPXW220913P04060000,121.39,109.79,0,0,481,0,0,0,410
13-09-22,SPXW220913C04065000,0.05,-56.4,0,0,7572,0,0,0,1262,4065,SPXW220913P04065000,138.12,125.27,0,0,226,0,0,0,563
13-09-22,SPXW220913C04070000,0.05,-52.8,0,0,10634,0,0,0,344,4070,SPXW220913P04070000,130.99,116.69,0,0,726,0,0,0,1146
13-09-22,SPXW220913C04075000,0.05,-49.3,0,0,10030,0,0,0,1244,4075,SPXW220913P04075000,110.13,94.33,0,0,703,0,0,0,2238
13-09-22,SPXW220913C04080000,0.05,-45.9,0,0,10470,0,0,0,395,4080,SPXW220913P04080000,143.21,125.81,0,0,809,0,0,0,648
13-09-22,SPXW220913C04085000,0.05,-42.7,0,0,9724,0,0,0,160,4085,SPXW220913P04085000,156.35,137.25,0,0,484,0,0,0,499
13-09-22,SPXW220913C04090000,0.05,-39.5,0,0,10821,0,0,0,773,4090,SPXW220913P04090000,161.3,140.3,0,0,246,0,0,0,320
13-09-22,SPXW220913C04095000,0.05,-36.5,0,0,7608,0,0,0,859,4095,SPXW220913P04095000,165.58,142.58,0,0,117,0,0,0,553
13-09-22,SPXW220913C04100000,0.05,-33.6,0,0,16041,0,0,0,1430,4100,SPXW220913P04100000,170.58,145.48,0,0,414,0,0,0,1193
13-09-22,SPXW220913C04105000,0.05,-30.85,0,0,5120,0,0,0,536,4105,SPXW220913P04105000,154.66,127.36,0,0,214,0,0,0,370
13-09-22,SPXW220913C04110000,0.05,-28.35,0,0,6242,0,0,0,837,4110,SPXW220913P04110000,173.41,143.71,0,0,136,0,0,0,374
13-09-22,SPXW220913C04115000,0.05,-25.75,0,0,4251,0,0,0,982,4115,SPXW220913P04115000,184.73,152.53,0,0,70,0,0,0,485
13-09-22,SPXW220913C04120000,0.05,-23.45,0,0,3827,0,0,0,924,4120,SPXW220913P04120000,172.25,137.3,0,0,37,0,0,0,333
13-09-22,SPXW220913C04125000,0.05,-21.25,0,0,3817,0,0,0,921,4125,SPXW220913P04125000,164.32,126.57,0,0,77,0,0,0,230
13-09-22,SPXW220913C04130000,0.05,-19.25,0,0,3717,0,0,0,617,4130,SPXW220913P04130000,140.48,99.88,0,0,30,0,0,0,164
13-09-22,SPXW220913C04135000,0.05,-17.25,0,0,1913,0,0,0,454,4135,SPXW220913P04135000,151.77,108.02,0,0,4,0,0,0,131
13-09-22,SPXW220913C04140000,0.05,-15.45,0,0,1659,0,0,0,1263,4140,SPXW220913P04140000,133.23,86.28,0,0,16,0,0,0,84
13-09-22,SPXW220913C04145000,0.05,-13.75,0,0,1716,0,0,0,483,4145,SPXW220913P04145000,157.69,107.49,0,0,13,0,0,0,124
13-09-22,SPXW220913C04150000,0.05,-12.2,0,0,1732,0,0,0,1910,4150,SPXW220913P04150000,217.12,163.52,0,0,65,0,0,0,100
13-09-22,SPXW220913C04155000,0.05,-10.75,0,0,303,0,0,0,639,4155,SPXW220913P04155000,164.6,107.4,0,0,4,0,0,0,2
13-09-22,SPXW220913C04160000,0.05,-9.45,0,0,415,0,0,0,1431,4160,SPXW220913P04160000,171.69,110.84,0,0,18,0,0,0,25
13-09-22,SPXW220913C04165000,0.05,-8.2,0,0,379,0,0,0,909,4165,SPXW220913P04165000,153.31,88.66,0,0,8,0,0,0,8
13-09-22,SPXW220913C04170000,0.05,-7.05,0,0,190,0,0,0,771,4170,SPXW220913P04170000,223.2,154.7,0,0,25,0,0,0,28
13-09-22,SPXW220913C04175000,0.05,-6.05,0,0,324,0,0,0,1419,4175,SPXW220913P04175000,225.81,153.26,0,0,8,0,0,0,16
13-09-22,SPXW220913C04180000,0.05,-5.15,0,0,519,0,0,0,905,4180,SPXW220913P04180000,163.93,87.33,0,0,2,0,0,0,17
13-09-22,SPXW220913C04185000,0.05,-4.35,0,0,203,0,0,0,378,4185,SPXW220913P04185000,233.87,153.02,0,0,7,0,0,0,8
13-09-22,SPXW220913C04190000,0.05,-3.65,0,0,193,0,0,0,980,4190,SPXW220913P04190000,239.88,154.83,0,0,14,0,0,0,28
13-09-22,SPXW220913C04195000,0.05,0.05,0,0,53,0,0,0,0,4195,SPXW220913P04195000,212.6,212.6,0,0,2,0,0,0,0
13-09-22,SPXW220913C04200000,0.05,-2.475,0,0,494,0,0,0,3096,4200,SPXW220913P04200000,273.01,179.11,0,0,26,0,0,0,26
13-09-22,SPXW220913C04205000,0.05,0.05,0,0,1,0,0,0,0,4205,SPXW220913P04205000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04210000,0.05,-1.6,0,0,565,0,0,0,2253,4210,SPXW220913P04210000,279.53,176.53,0,0,24,0,0,0,34
13-09-22,SPXW220913C04215000,0.05,0.05,0,0,3,0,0,0,0,4215,SPXW220913P04215000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04220000,0.05,-0.95,0,0,377,0,0,0,1318,4220,SPXW220913P04220000,232.33,119.88,0,0,3,0,0,0,555
13-09-22,SPXW220913C04225000,0.05,-0.7,0,0,1874,0,0,0,6080,4225,SPXW220913P04225000,241.62,124.47,0,0,6,0,0,0,6
13-09-22,SPXW220913C04230000,0.05,0.05,0,0,4,0,0,0,0,4230,SPXW220913P04230000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04240000,0.05,0.05,0,0,2,0,0,0,0,4240,SPXW220913P04240000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04250000,0.05,-0.075,0,0,168,0,0,0,7221,4250,SPXW220913P04250000,285.8,144.25,0,0,7,0,0,0,9
13-09-22,SPXW220913C04260000,0.05,0.05,0,0,3,0,0,0,0,4260,SPXW220913P04260000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04275000,0.05,0,0,0,77,0,0,0,2913,4275,SPXW220913P04275000,310.8,144.35,0,0,5,0,0,0,5
13-09-22,SPXW220913C04300000,0.05,0,0,0,0,0,0,0,2555,4300,SPXW220913P04300000,322,0,0,0,0,0,0,0,3
13-09-22,SPXW220913C04325000,0.05,0,0,0,0,0,0,0,387,4325,SPXW220913P04325000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04350000,0.05,0,0,0,0,0,0,0,68,4350,SPXW220913P04350000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04375000,0,0,0,0,0,0,0,0,0,4375,SPXW220913P04375000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04400000,0.05,0,0,0,0,0,0,0,16,4400,SPXW220913P04400000,294.2,0,0,0,0,0,0,0,1
13-09-22,SPXW220913C04500000,0.05,0,0,0,0,0,0,0,515,4500,SPXW220913P04500000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04600000,0.05,0.025,0,0,5,0,0,0,0,4600,SPXW220913P04600000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C04800000,0.05,0,0,0,0,0,0,0,1,4800,SPXW220913P04800000,817.67,126.27,0,0,4,0,0,0,0
13-09-22,SPXW220913C05000000,0,0,0,0,0,0,0,0,0,5000,SPXW220913P05000000,1017.62,126.27,0,0,4,0,0,0,0
13-09-22,SPXW220913C05200000,0,0,0,0,0,0,0,0,0,5200,SPXW220913P05200000,0,0,0,0,0,0,0,0,0
14-09-22,SPXW220914C01200000,0,0,2737.9,2740.2,0,0,1,0,0,1200,SPXW220914P01200000,0,0,0,0.05,0,7.6547,0,0,0
14-09-22,SPXW220914C01400000,0,0,2537.7,2540.2,0,0,1,0,0,1400,SPXW220914P01400000,0.05,0,0,0.05,0,6.6866,0,0,11
14-09-22,SPXW220914C01600000,0,0,2337.7,2340.2,0,0,1,0,0,1600,SPXW220914P01600000,0,0,0,0.05,0,5.8488,0,0,0
14-09-22,SPXW220914C01800000,0,0,2137.7,2140.2,0,0,1,0,0,1800,SPXW220914P01800000,0,0,0,0.05,0,5.1099,0,0,0
14-09-22,SPXW220914C02000000,0,0,1938,1940.2,0,0,1,0,0,2000,SPXW220914P02000000,0,0,0,0.05,0,4.4482,0,0,0
14-09-22,SPXW220914C02200000,0,0,1737.7,1740.2,0,0,1,0,0,2200,SPXW220914P02200000,0.05,0,0,0.05,0,3.8482,0,0,1
14-09-22,SPXW220914C02400000,0,0,1537.7,1540.2,0,0,1,0,0,2400,SPXW220914P02400000,0.15,0,0,0.05,0,3.2988,0,0,106
14-09-22,SPXW220914C02600000,1337.8,-169.75,1337.7,1340.2,1,0,1,0,0,2600,SPXW220914P02600000,0.05,0.025,0,0.05,950,2.791,0,0,87
14-09-22,SPXW220914C02800000,1137.4,-170.2,1138,1140.2,4,0,0.9999,0,0,2800,SPXW220914P02800000,0.05,0.025,0,0.05,1575,2.318,-0.0001,0,117
14-09-22,SPXW220914C03000000,948.05,0,937.7,940.2,0,0,0.9999,0,2,3000,SPXW220914P03000000,0.05,0.025,0,0.05,2735,1.874,-0.0001,0,478
14-09-22,SPXW220914C03100000,0,0,837.7,840.2,0,0,0.9999,0,0,3100,SPXW220914P03100000,0.05,0.025,0,0.05,6365,1.6614,-0.0001,0,1702
14-09-22,SPXW220914C03200000,0,0,737.8,740.2,0,0,0.9998,0,1,3200,SPXW220914P03200000,0.05,0.025,0,0.1,2466,1.5318,-0.0001,0,4184
14-09-22,SPXW220914C03250000,0,0,687.7,690.2,0,0,0.9998,0,0,3250,SPXW220914P03250000,0.1,0.075,0,0.1,2465,1.4253,-0.0002,0,991
14-09-22,SPXW220914C03300000,0,0,637.7,640.2,0,0,0.9998,0,0,3300,SPXW220914P03300000,0.1,0.075,0,0.1,2702,1.3201,-0.0002,0,12607
14-09-22,SPXW220914C03350000,0,0,587.7,590.2,0,0,0.9998,0,0,3350,SPXW220914P03350000,0.1,0.025,0,0.1,2024,1.2159,-0.0002,0,4657
14-09-22,SPXW220914C03400000,0,0,538,540.2,0,0,0.9997,0,2,3400,SPXW220914P03400000,0.1,0.025,0,0.1,2217,1.1127,-0.0003,0,1954
14-09-22,SPXW220914C03450000,0,0,487.7,490.2,0,0,0.9996,0,0,3450,SPXW220914P03450000,0.15,0.025,0,0.1,1386,1.0105,-0.0004,0,2483
14-09-22,SPXW220914C03500000,0,0,437.7,440.2,0,0,0.9995,0,0,3500,SPXW220914P03500000,0.22,0.145,0,0.1,3176,0.909,-0.0005,0,16021
14-09-22,SPXW220914C03550000,647.24,0,387.7,390.2,0,0,0.9992,0,1,3550,SPXW220914P03550000,0.35,-0.025,0,0.1,8006,0.8082,-0.0008,0,6861
14-09-22,SPXW220914C03575000,0,0,363,365.2,0,0,0.999,0,0,3575,SPXW220914P03575000,0.35,0.05,0,0.15,3183,0.7858,-0.001,0,1063
